Phase,Type,Model,Spearman_GroupCV,Pearson_GroupCV,R2_GroupCV,Kendall_GroupCV,MAE_GroupCV,RMSE_GroupCV,Spearman_Train,Spearman_Val,Train_Val_Ratio
2B,DL,ResidualMLP,0.44892293320055554,0.5171824594338735,0.24780907233556113,0.315130804577161,1.810246229171753,2.385987239980425,0.8711320942514896,0.44892293320055554,1.9404936344882895
2B,DL,FTTransformer,0.4082171695704598,0.47602008779843646,0.18426199754079184,0.28492086647238835,1.8762409687042236,2.484872515927822,0.8384419640505475,0.4082171695704598,2.0539115611741297
2B,DL,CrossAttention,0.3999254014130367,0.4807919164498647,0.1539729436238607,0.2781123324819186,1.936680555343628,2.5312425140960344,0.8480300238993506,0.3999254014130367,2.1204705200096017
2B,DL,TabNet,0.4062463852819181,0.4713120957215627,0.10113664468129475,0.28247105992594795,1.9353294769922893,2.6037354483288264,0.9163520629537452,0.4062463852819181,2.2556559175728665
2B,DL,WideDeep,0.3675478767466591,0.44620006283124286,0.1363283395767212,0.2532809139106889,1.9723840951919556,2.5574561647325464,0.837459206198346,0.3675478767466591,2.278503724769397
2B,DL,TabTransformer,0.41503280273674464,0.48368358612060547,0.17213338613510132,0.2890631968667098,1.8580795923868816,2.501658457201868,0.8611937069870116,0.41503280273674464,2.075001545198987
2C,DL,FlatMLP,0.41217515867345805,0.4984000523885091,0.21258880694707236,0.28583884906117474,1.8857162396113079,2.442649990393163,0.9094706311955819,0.41217515867345805,2.2065149052713813
2C,DL,ResidualMLP,0.4277438739122526,0.5044345955053965,0.19354921579360962,0.29840095332970973,1.8798229297002156,2.471912540239959,0.9275469698259586,0.4277438739122526,2.168463481060247
2C,DL,FTTransformer,0.40183308249067123,0.4892643888791402,0.1399314006169637,0.28013430038979154,1.9156962235768635,2.5528689053734706,0.8967520934188357,0.40183308249067123,2.231653222428878
2C,DL,CrossAttention,0.3840831382745302,0.4626684784889221,0.10819111267725627,0.2660506467705867,1.9739065965016682,2.5993744009995186,0.9045036471587625,0.3840831382745302,2.3549683832052333
2C,DL,TabNet,0.40629907746327865,0.48383540908495587,0.16263538599014282,0.2831234926114347,1.8938506841659546,2.5178334086151746,0.9676119169618344,0.40629907746327865,2.3815262466336447
2C,DL,WideDeep,0.3148808778800327,0.4041802187760671,0.01567097504933675,0.21557134157416025,2.1522566080093384,2.7305302257971946,0.8908667274508314,0.3148808778800327,2.8292182537367196
2C,DL,TabTransformer,0.41864651348706367,0.4966805676619212,0.18836687008539835,0.29236190947458657,1.8556456168492634,2.4779011439340954,0.9188364361426572,0.41864651348706367,2.194778665393208
