phase,track,family,model,cv_spearman,groupcv_spearman,scaffoldcv_spearman,cv_overfit_gap,groupcv_overfit_gap,scaffoldcv_overfit_gap,cv_fold_std,groupcv_fold_std,scaffoldcv_fold_std,cv_folds,groupcv_folds,scaffoldcv_folds,generalization_mean,primary_overfit_gap,source_model_dir
2B,2B_numeric_smiles,ML,CatBoost,0.6966917841555373,0.4211905601951753,0.382832306097322,0.023591292055619568,0.3215234571627453,0.3604859016464624,0.0027551076203071604,0.06442077645524401,0.06835124270952075,3,3,3,0.40201143314624865,0.3215234571627453,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/CatBoost
2B,2B_numeric_smiles,ML,LightGBM,0.7504550896841606,0.41763209411312113,0.3487873207724718,0.04176633323494124,0.38601662235229584,0.45236104235452873,0.007874971417966113,0.054858136787450565,0.05207740254995331,3,3,3,0.3832097074427965,0.38601662235229584,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/LightGBM
2B,2B_numeric_smiles,ML,RandomForest,0.7699388168991371,0.43289098299047685,0.3329021750268803,0.12945344325287508,0.4664280999915449,0.5605222253020342,0.009014010687312411,0.06205230196178684,0.09635453897744758,3,3,3,0.3828965790086786,0.4664280999915449,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/RandomForest
2B,2B_numeric_smiles,ML,XGBoost,0.741826081429136,0.4147013978746949,0.33775179653889653,0.05438439053981218,0.3925274589633739,0.46583236986695303,0.007531877670008358,0.05134860291818427,0.13419967836702398,3,3,3,0.37622659720679574,0.3925274589633739,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost
2B,2B_numeric_smiles,ML,ExtraTrees,0.7662910449653388,0.3289136729879188,0.32634598831067757,0.1481615147450979,0.5852738280479743,0.5816076381147376,0.010575909508833787,0.061386767096757,0.018355431531423213,3,3,3,0.3276298306492982,0.5852738280479743,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ExtraTrees
2C,2C_numeric_smiles_context,DL,ResidualMLP,0.7644602086433059,0.43898165529583383,0.38757327288297755,0.024637818336486816,0.3421144187450409,0.4004122018814087,0.005336102098226547,0.04027865454554558,0.06129489839076996,3,3,3,0.4132774640894057,0.3421144187450409,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/ResidualMLP
2C,2C_numeric_smiles_context,DL,WideDeep,0.7530089205798528,0.4327692077966631,0.3847321394589393,0.021329104900360107,0.3524033725261688,0.39797690510749817,0.01050079707056284,0.034075044095516205,0.06485816091299057,3,3,3,0.4087506736278012,0.3524033725261688,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/WideDeep
2C,2C_numeric_smiles_context,DL,FlatMLP,0.7600124813146532,0.4218383528935794,0.38322603743398326,0.02309958077967167,0.36530017852783203,0.40136340260505676,0.004902136046439409,0.038455698639154434,0.057769712060689926,3,3,3,0.40253219516378136,0.36530017852783203,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/FlatMLP
2C,2C_numeric_smiles_context,DL,TabTransformer,0.7552302988566032,0.41948521792932053,0.38548489363419886,0.01964990235865116,0.35754212737083435,0.392559289932251,0.008986278437077999,0.07809405773878098,0.0981510728597641,3,3,3,0.4024850557817597,0.35754212737083435,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/TabTransformer
2C,2C_numeric_smiles_context,DL,FTTransformer,0.7403980750032341,0.4268754238324565,0.3680282650392152,0.01993129588663578,0.3372242748737335,0.4061001241207123,0.009556479752063751,0.06832246482372284,0.13501057028770447,3,3,3,0.39745184443583587,0.3372242748737335,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/FTTransformer
2C,2C_numeric_smiles_context,DL,CrossAttention,0.7604501205618321,0.3850051163028041,0.37744313279165237,0.024156471714377403,0.3951842784881592,0.4069503843784332,0.009234689176082611,0.05340784788131714,0.05309933423995972,3,3,3,0.3812241245472282,0.3951842784881592,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/CrossAttention
2C,2C_numeric_smiles_context,DL,TabNet,0.7587068433890801,0.35835788016125686,0.33513438366811177,0.06324034929275513,0.46405553817749023,0.4646361768245697,0.008702591992914677,0.05280463397502899,0.046282701194286346,3,3,3,0.3467461319146843,0.46405553817749023,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/TabNet
2C,2C_numeric_smiles_context,Graph,GraphSAGE,0.7397070916408349,0.29386365072911896,0.3562309985873096,0.012320299632847309,0.45426812767982483,0.3951963186264038,0.024238502606749535,0.11408757418394089,0.10818560421466827,3,3,3,0.3250473246582143,0.45426812767982483,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2C_numeric_smiles_context/GraphSAGE
2C,2C_numeric_smiles_context,Graph,GAT,0.777695621858304,0.26686773534865676,0.33415325924209754,0.029521048069000244,0.5396418571472168,0.4684540033340454,0.00866693165153265,0.0984235629439354,0.010929102078080177,3,3,3,0.30051049729537715,0.5396418571472168,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2C_numeric_smiles_context/GAT
2C,2C_numeric_smiles_context,ML,ElasticNet,,,,,,,,,,,,,,,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/ElasticNet
2C,2C_numeric_smiles_context,ML,CatBoost,0.7108007664008887,0.4695311330000176,0.41565238060366266,0.02477494174227716,0.28651524553942587,0.33861283877808956,0.0107416567108012,0.06521598496648276,0.06455788332565181,3,3,3,0.44259175680184015,0.28651524553942587,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/CatBoost
2C,2C_numeric_smiles_context,ML,LightGBM,0.761458747863565,0.46038028719611973,0.3925183696159918,0.04310293973169458,0.3556009282922921,0.42303910994098676,0.00819838360129694,0.06745992734136885,0.07486488184448539,3,3,3,0.42644932840605576,0.3556009282922921,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/LightGBM
2C,2C_numeric_smiles_context,ML,RandomForest,0.7761236798123442,0.4449756238367888,0.36170532607904393,0.1547403569116467,0.48646805970258794,0.5650368045650114,0.009946299144797284,0.061655578222539933,0.0969108814811286,3,3,3,0.40334047495791636,0.48646805970258794,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/RandomForest
