phase,family,model,cv_spearman,groupcv_spearman,scaffoldcv_spearman,overfit_gap_groupcv,mean_group_scaffold_spearman,source_model_dir
2B,Graph,GAT,0.7663719458614683,0.2597016983405628,0.28205568816795207,0.5351182818412781,0.2708786932542574,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GAT
2B,ML,ElasticNet,,,,,,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ElasticNet
2B,ML,CatBoost,0.6966917841555373,0.4211905601951753,0.382832306097322,0.3215234571627453,0.40201143314624865,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/CatBoost
2B,ML,LightGBM,0.7504550896841606,0.41763209411312113,0.3487873207724718,0.38601662235229584,0.3832097074427965,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/LightGBM
2B,ML,RandomForest,0.7699388168991371,0.43289098299047685,0.3329021750268803,0.4664280999915449,0.3828965790086786,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/RandomForest
2B,ML,XGBoost,0.741826081429136,0.4147013978746949,0.33775179653889653,0.3925274589633739,0.37622659720679574,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost
2B,ML,ExtraTrees,0.7662910449653388,0.3289136729879188,0.32634598831067757,0.5852738280479743,0.3276298306492982,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ExtraTrees
2C,DL,ResidualMLP,0.7644602086433059,0.43898165529583383,0.38757327288297755,0.3421144187450409,0.4132774640894057,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/ResidualMLP
2C,DL,WideDeep,0.7530089205798528,0.4327692077966631,0.3847321394589393,0.3524033725261688,0.4087506736278012,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/WideDeep
2C,DL,FlatMLP,0.7600124813146532,0.4218383528935794,0.38322603743398326,0.36530017852783203,0.40253219516378136,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2C_numeric_smiles_context/FlatMLP
