rank,experiment_id,phase,split,category,model,val_spearman_mean,val_spearman_std,train_spearman_mean,gap_mean,n_folds,overfitting_flag,stability_flag,source_file
44,2A_DL_TabTransformer_DrugSplit,Phase 2A,Drug Split,DL,TabTransformer,0.4797570189427498,0.07696320230173731,0.8412532266036724,0.3614962076609226,3,True,False,colon_numeric_dl_v1_groupcv.json
45,2A_DL_ResidualMLP_DrugSplit,Phase 2A,Drug Split,DL,ResidualMLP,0.47821875218356485,0.06726510754041534,0.8726482100597938,0.3944294578762289,3,True,False,colon_numeric_dl_v1_groupcv.json
46,2B_DL_ResidualMLP_DrugSplit,Phase 2B,Drug Split,DL,ResidualMLP,0.4710473288409904,0.07193047895461445,0.876110512409218,0.4050631835682276,3,True,False,colon_numeric_smiles_dl_v1_groupcv.json
47,2B_DL_FlatMLP_DrugSplit,Phase 2B,Drug Split,DL,FlatMLP,0.46933936451422603,0.0692374583503037,0.8549988815267774,0.38565951701255136,3,True,False,colon_numeric_smiles_dl_v1_groupcv.json
48,2A_DL_FTTransformer_DrugSplit,Phase 2A,Drug Split,DL,FTTransformer,0.4674444843067182,0.05347665940672808,0.8267050967100719,0.35926061240335366,3,True,True,colon_numeric_dl_v1_groupcv.json
49,2B_DL_FTTransformer_DrugSplit,Phase 2B,Drug Split,DL,FTTransformer,0.4645561009747739,0.08104426463742279,0.8246880113131064,0.36013191033833253,3,True,False,colon_numeric_smiles_dl_v1_groupcv.json
50,2B_DL_TabTransformer_DrugSplit,Phase 2B,Drug Split,DL,TabTransformer,0.4622993262139367,0.07273937544141813,0.8432397102508462,0.3809403840369095,3,True,False,colon_numeric_smiles_dl_v1_groupcv.json
51,2B_ML_LightGBM_DART_DrugSplit,Phase 2B,Drug Split,ML,LightGBM_DART,0.4621180233775834,0.06262251425855855,0.8473473437630967,0.38522932038551333,3,True,False,colon_numeric_smiles_ml_v1_groupcv.json
52,2A_DL_FlatMLP_DrugSplit,Phase 2A,Drug Split,DL,FlatMLP,0.4613304128446584,0.07245450172393503,0.8558812405113386,0.3945508276666802,3,True,False,colon_numeric_dl_v1_groupcv.json
53,2B_DL_WideDeep_DrugSplit,Phase 2B,Drug Split,DL,WideDeep,0.46086808523237016,0.08849580625819882,0.8447004616780623,0.3838323764456922,3,True,False,colon_numeric_smiles_dl_v1_groupcv.json
54,2B_ML_LightGBM_DrugSplit,Phase 2B,Drug Split,ML,LightGBM,0.45812887213564285,0.052317077592961385,0.8830662418090883,0.4249373696734455,3,True,True,colon_numeric_smiles_ml_v1_groupcv.json
55,2A_ML_RandomForest_DrugSplit,Phase 2A,Drug Split,ML,RandomForest,0.4524374879087465,0.06953386993123044,0.934738783509808,0.4823012956010615,3,True,False,colon_numeric_ml_v1_groupcv.json
56,2C_Graph_GraphSAGE_DrugSplit,Phase 2C,Drug Split,Graph,GraphSAGE,0.451692217660906,0.08356393382630749,0.766791186806082,0.31509896914517604,3,True,False,colon_numeric_context_smiles_graph_v1_groupcv.json
57,2A_DL_WideDeep_DrugSplit,Phase 2A,Drug Split,DL,WideDeep,0.451346385854896,0.06994875964986524,0.843350796130034,0.39200441027513805,3,True,False,colon_numeric_dl_v1_groupcv.json
58,2B_Graph_GraphSAGE_DrugSplit,Phase 2B,Drug Split,Graph,GraphSAGE,0.4509148601859829,0.09532175950995592,0.773873318934167,0.3229584587481841,3,True,False,colon_numeric_smiles_graph_v1_groupcv.json
59,2C_DL_ResidualMLP_DrugSplit,Phase 2C,Drug Split,DL,ResidualMLP,0.4500736010242532,0.03004442162811868,0.9445509248255494,0.49447732380129616,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
60,2C_DL_TabTransformer_DrugSplit,Phase 2C,Drug Split,DL,TabTransformer,0.4363958492721755,0.05722782104389459,0.891985739294117,0.45558989002194145,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
61,2A_ML_XGBoost_DrugSplit,Phase 2A,Drug Split,ML,XGBoost,0.43208027226787843,0.055917309184212075,0.9232387793831651,0.4911585071152867,3,True,True,colon_numeric_ml_v1_groupcv.json
62,2C_ML_CatBoost_DrugSplit,Phase 2C,Drug Split,ML,CatBoost,0.4305039121068779,0.05658972289674806,0.9706464345679108,0.5401425224610329,3,True,True,colon_numeric_context_smiles_ml_v1_groupcv.json
63,2A_DL_CrossAttention_DrugSplit,Phase 2A,Drug Split,DL,CrossAttention,0.4297385577251445,0.0637416172203113,0.8429714352207839,0.41323287749563936,3,True,False,colon_numeric_dl_v1_groupcv.json
64,2A_Graph_GAT_DrugSplit,Phase 2A,Drug Split,Graph,GAT,0.4284552413922634,0.06859695115808948,0.6295075745267386,0.20105233313447518,3,True,False,colon_numeric_graph_v1_groupcv.json
65,2B_ML_RandomForest_DrugSplit,Phase 2B,Drug Split,ML,RandomForest,0.42785903224346283,0.0901648762255916,0.9347500860829977,0.5068910538395348,3,True,False,colon_numeric_smiles_ml_v1_groupcv.json
66,2B_DL_TabNet_DrugSplit,Phase 2B,Drug Split,DL,TabNet,0.4275411670874432,0.05015825550711162,0.897342743929722,0.4698015768422788,3,True,True,colon_numeric_smiles_dl_v1_groupcv.json
67,2A_DL_TabNet_DrugSplit,Phase 2A,Drug Split,DL,TabNet,0.4223925065090166,0.0522318502489695,0.9000362383446542,0.4776437318356376,3,True,True,colon_numeric_dl_v1_groupcv.json
68,2B_DL_CrossAttention_DrugSplit,Phase 2B,Drug Split,DL,CrossAttention,0.4211605396710258,0.060698707506573066,0.8336040432753462,0.4124435036043204,3,True,True,colon_numeric_smiles_dl_v1_groupcv.json
69,2C_Graph_GAT_DrugSplit,Phase 2C,Drug Split,Graph,GAT,0.41828264893655515,0.09422015579990199,0.5677254741972396,0.14944282526068448,3,False,False,colon_numeric_context_smiles_graph_v1_groupcv.json
70,2C_DL_FlatMLP_DrugSplit,Phase 2C,Drug Split,DL,FlatMLP,0.41271947479678944,0.02014834240357559,0.9126427681614402,0.49992329336465074,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
71,2C_DL_FTTransformer_DrugSplit,Phase 2C,Drug Split,DL,FTTransformer,0.41243028493143635,0.038140509602636936,0.8817030028705103,0.46927271793907394,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
72,2C_DL_WideDeep_DrugSplit,Phase 2C,Drug Split,DL,WideDeep,0.40962173495284343,0.05343041660448761,0.8990696648455337,0.4894479298926903,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
73,2A_ML_ExtraTrees_DrugSplit,Phase 2A,Drug Split,ML,ExtraTrees,0.4092702323361144,0.026723156486429703,0.9493783771651999,0.5401081448290854,3,True,True,colon_numeric_ml_v1_groupcv.json
74,2C_ML_LightGBM_DART_DrugSplit,Phase 2C,Drug Split,ML,LightGBM_DART,0.40498688945122474,0.06169328125035447,0.911132362617987,0.5061454731667623,3,True,False,colon_numeric_context_smiles_ml_v1_groupcv.json
75,2B_ML_LightGBM_ScaffoldSplit,Phase 2B,Scaffold Split,ML,LightGBM,0.40408581928667003,0.1169049838597927,0.8786597131531012,0.4745738938664312,3,True,False,colon_numeric_smiles_ml_v1_scaffoldcv.json
76,2A_ML_CatBoost_ScaffoldSplit,Phase 2A,Scaffold Split,ML,CatBoost,0.40162242592266556,0.14562298573750238,0.8985084050922475,0.49688597916958194,3,True,False,colon_numeric_ml_v1_scaffoldcv.json
77,2C_ML_LightGBM_DrugSplit,Phase 2C,Drug Split,ML,LightGBM,0.3999084526960283,0.07189581657579965,0.9428774454447705,0.5429689927487422,3,True,False,colon_numeric_context_smiles_ml_v1_groupcv.json
78,2A_ML_LightGBM_ScaffoldSplit,Phase 2A,Scaffold Split,ML,LightGBM,0.3987250789993892,0.10120397712351857,0.8777117416306832,0.478986662631294,3,True,False,colon_numeric_ml_v1_scaffoldcv.json
79,2C_ML_XGBoost_DrugSplit,Phase 2C,Drug Split,ML,XGBoost,0.39557485609753745,0.07368809522678371,0.9855255721134478,0.5899507160159103,3,True,False,colon_numeric_context_smiles_ml_v1_groupcv.json
80,2C_DL_CrossAttention_DrugSplit,Phase 2C,Drug Split,DL,CrossAttention,0.39348332000275194,0.04540106244407598,0.9045717398128345,0.5110884198100825,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
81,2B_ML_XGBoost_DrugSplit,Phase 2B,Drug Split,ML,XGBoost,0.39248238340955227,0.055898815535511785,0.9272193027250767,0.5347369193155245,3,True,True,colon_numeric_smiles_ml_v1_groupcv.json
82,2B_ML_ExtraTrees_DrugSplit,Phase 2B,Drug Split,ML,ExtraTrees,0.3923285462117401,0.021814123027649387,0.9493783771651999,0.5570498309534597,3,True,True,colon_numeric_smiles_ml_v1_groupcv.json
83,2C_ML_RandomForest_DrugSplit,Phase 2C,Drug Split,ML,RandomForest,0.3907700587740841,0.0859096832165895,0.9865262180144533,0.5957561592403692,3,True,False,colon_numeric_context_smiles_ml_v1_groupcv.json
84,2A_ML_LightGBM_DART_ScaffoldSplit,Phase 2A,Scaffold Split,ML,LightGBM_DART,0.39035975648646143,0.12208335857488133,0.8440409221022106,0.45368116561574917,3,True,False,colon_numeric_ml_v1_scaffoldcv.json
85,2B_ML_CatBoost_ScaffoldSplit,Phase 2B,Scaffold Split,ML,CatBoost,0.3899255890833237,0.1311666775340519,0.8994910382997735,0.5095654492164499,3,True,False,colon_numeric_smiles_ml_v1_scaffoldcv.json
86,2C_ML_CatBoost_ScaffoldSplit,Phase 2C,Scaffold Split,ML,CatBoost,0.38618896803034497,0.13817967328801478,0.9706860770807365,0.5844971090503915,3,True,False,colon_numeric_context_smiles_ml_v1_scaffoldcv.json
87,2C_DL_TabNet_DrugSplit,Phase 2C,Drug Split,DL,TabNet,0.3818207281366301,0.0182050786953407,0.9561917636768008,0.5743710355401708,3,True,True,colon_numeric_context_smiles_dl_v1_groupcv.json
88,2A_DL_FTTransformer_ScaffoldSplit,Phase 2A,Scaffold Split,DL,FTTransformer,0.37817597780304263,0.13766867544568434,0.8209365021865166,0.44276052438347396,3,True,False,colon_numeric_dl_v1_scaffoldcv.json
89,2A_ML_RandomForest_ScaffoldSplit,Phase 2A,Scaffold Split,ML,RandomForest,0.3749566651104094,0.11540797319323869,0.9311927074278996,0.5562360423174901,3,True,False,colon_numeric_ml_v1_scaffoldcv.json
90,2B_ML_LightGBM_DART_ScaffoldSplit,Phase 2B,Scaffold Split,ML,LightGBM_DART,0.3741383533226145,0.10654433007104518,0.8457790799761472,0.4716407266535327,3,True,False,colon_numeric_smiles_ml_v1_scaffoldcv.json
91,2B_Graph_GAT_DrugSplit,Phase 2B,Drug Split,Graph,GAT,0.3717348761988543,0.06372640359082692,0.5466291569155189,0.17489428071666463,3,True,False,colon_numeric_smiles_graph_v1_groupcv.json
