canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank,rank_20260428_colon_v2
1175,4.354769701617059,0.6769044951916539,3.226233840061309,6.7547299544259625,4.3241777,35,rucaparib,Rucaparib,"PARP1, PARP2",Genome integrity,243,243
2170,4.3879015909586325,0.7020257023169841,3.5230472884226076,6.8408663049790635,3.9233127,33,at13148,AT13148,AKT1,PI3K/MTOR signaling,244,244
2109,4.389098644323437,0.6248691057948387,3.498803420970112,6.643783465236447,2.4547772,33,az6102,AZ6102,"TNKS1, TNKS2",WNT signaling,245,245
1069,4.389199403420797,0.7593188226748954,2.7682783275735368,6.874163152251652,3.8551836,35,eht1864,EHT-1864,"RAC1, RAC2, RAC3",Cytoskeleton,246,246
1734,4.391635068197159,0.7161132618374234,3.3612815028495566,6.282281635583244,2.5092757,35,vsp348731,VSP34_8731,VSP34,Other,247,247
1712,4.393068165124987,0.7439990858107223,3.162790742737739,6.282281635583244,-2.470389,34,eg59814,Eg5_9814,KSP11,Other,248,248
1023,4.399255681593161,0.6099459349095531,3.5763375169980796,6.5671650672941535,3.6786842,35,gw441756,GW441756,NTRK1,RTK signaling,249,249
1557,4.424877103876597,0.7472977528659758,3.411916077470959,6.974775838271179,5.4204183,35,lcl161,LCL161,"XIAP, IAP1, IAP2",Apoptosis regulation,250,250
1053,4.430056453540353,0.7294907330662256,2.997072691878347,7.16217424228667,2.8760993,35,mk2206,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,251,251
1624,4.430741421577268,0.8309181245192583,3.0769927888297346,6.978867809867673,3.6210022,35,ibet762,I-BET-762,"BRD2, BRD3, BRD4",Chromatin other,252,252
1510,4.438043526778108,0.8364913019662903,2.8034719664482797,7.264574020842391,3.5074086,35,linsitinib,Linsitinib,IGF1R,IGF1R signaling,253,253
1996,4.43818584626255,0.7530718661559183,3.2214365975551535,6.809053073896234,4.374734,32,mim1,MIM1,MCL1,Apoptosis regulation,254,254
1036,4.49741683811224,0.8327966908736396,2.6977014552154017,7.16158392848977,4.7386985,35,plx4720,PLX-4720,BRAF,ERK MAPK signaling,255,255
1563,4.505337936097928,0.8157267944693448,3.4030862816865417,7.122080314083795,6.0273676,35,epz5676,EPZ5676,DOT1L,Chromatin histone methylation,256,256
1622,4.506153614915555,0.7091630089214679,3.456528962716529,7.0072902497573075,4.8853126,35,wntc59,Wnt-C59,PORCN,WNT signaling,257,257
1243,4.528652015327566,0.2206849965788704,4.324273236015243,4.821634693986701,2.790513,4,piperlongumine,Piperlongumine,Induces reactive oxygen species,Other,258,258
1268,4.5297735988856145,0.6224818416929212,3.4964967587667632,6.642893273181284,5.0696487,35,xav939,XAV939,"TNKS1, TNKS2",WNT signaling,259,259
2360,4.574288244685609,0.6020538399545949,3.5134897220190555,6.643468905503089,5.4859858,33,thr101,THR-101,Mutant RAS,PI3K/MTOR signaling,260,260
1085,4.6632184520265385,0.7344830235276959,3.4327459590768044,7.053779374512986,2.883508,34,sorafenib,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",261,261
1463,4.70264294735818,0.7298075152370193,3.783227406028546,7.171578104998557,4.1671824,35,azd1332,AZD1332,"NTRK1, NTRK2, NTRK3",RTK signaling,262,262
2438,4.720378599711666,0.7737867780646616,3.2425721127843974,7.109008668016568,10.657832,33,ascorbatevitaminc,ascorbate (vitamin C),anti-oxidant proteins,Other,263,263
2499,4.840344269426671,0.7020568531843668,3.4417955668373628,7.017108468221203,9.9698515,33,nacetylcysteine,N-acetyl cysteine,Metabolism,Metabolism,264,264
1177,4.902316589805063,0.7073655695169019,3.787691318590592,7.245645984431747,5.0582037,35,niraparib,Niraparib,"PARP1, PARP2",Genome integrity,265,265
1018,4.929905651994121,0.6364939555243628,4.149298288126337,7.0026353371565495,5.668251,35,veliparib,Veliparib,"PARP1, PARP2",Genome integrity,266,266
1815,4.937026394476447,0.6621965025557542,3.643595322129416,7.027657212162514,5.7917886,35,dacarbazine,Dacarbazine,CP11A,Other,267,267
1199,4.969492853118699,0.7180766610646852,3.323319169206002,7.317153227453181,3.8699667,34,tamoxifen,Tamoxifen,ESR1,Hormone-related,268,268
1560,4.993620472881876,0.7792472541731413,3.733721725968533,7.586924755851495,3.5969005,35,alpelisib,Alpelisib,PI3Kalpha,PI3K/MTOR signaling,269,269
2175,5.023301393289291,0.2966482214852087,4.752959682328608,5.359830994783565,5.2399154,4,chir99021,CHIR-99021,"GSK3A, GSK3B",WNT signaling,270,270
1621,5.109991966697519,0.7096728158106643,3.799300033389017,7.492123497171402,5.110435,35,pci34051,PCI-34051,"HDAC8, HDAC6, HDAC1",Chromatin histone acetylation,271,271
1931,5.111050258731966,0.5978014688021489,4.283756244308206,6.945452125034669,5.9010386,35,mira1,MIRA-1,TP53,p53 pathway,272,272
2043,5.124433880014919,0.6626558699116424,3.842093858734404,7.283914846201664,5.46257,32,bibr1532,BIBR-1532,TERT,Genome integrity,273,273
1933,5.144507513673242,0.7219303355204504,3.8516523880003137,7.443200126861607,4.670102,34,p22077,P22077,"USP7, USP47",Protein stability and degradation,274,274
1814,5.191589892770986,0.8350833073028688,3.9520704121111696,7.796717636292702,6.384776,35,nelarabine,Nelarabine,,DNA replication,275,275
1067,5.22462337103862,0.6626884004657814,4.175668474303455,7.368149163871042,5.5929317,35,cct007093,CCT007093,PPM1D,Cell cycle,276,276
1507,5.237713238763703,0.7003148852845594,4.157239620568734,7.504160799276383,5.4168725,35,ruxolitinib,Ruxolitinib,"JAK1, JAK2","Other, kinases",277,277
1854,5.494095746192069,0.6594137622739509,3.949118811198266,7.708114999611359,5.231086,35,mn64,MN-64,"TNKS1, TNKS2",WNT signaling,278,278
1580,5.496706651649965,0.7578076474990617,4.089880427276391,8.043853995405815,5.202154,35,gsk2801,GSK2801,,Chromatin other,279,279
1048,5.615199437435863,0.779519676605372,4.104296515127539,8.13027589325485,5.0428457,35,mirin,Mirin,MRE11,Genome integrity,280,280
1615,5.747865835455776,0.807317153572678,4.123188583014865,8.31371101004639,5.666874,35,czc24832,CZC24832,PI3Kgamma,PI3K/MTOR signaling,281,281
1033,5.82404024369627,0.7040180613081318,4.470962871948649,8.142150601176265,5.3763833,35,vismodegib,Vismodegib,SMO,Other,282,282
2156,5.9086077024231525,0.8171160099036199,4.405346788236154,8.40151397910301,3.169548,33,5azacytidine,5-azacytidine,DNA methyltransferases,Other,283,283
1852,5.949528521812255,0.8336828882323998,3.819471139902429,8.472572142568207,5.4866405,35,ly2109761,LY2109761,TGFB1,Other,284,284
1043,6.061856566096376,0.8640669872858323,4.584555276910075,8.92172683122837,5.525204,35,jnkinhibitorviii,JNK Inhibitor VIII,JNK,JNK and p38 signaling,285,285
1813,6.112773065366925,0.7707739343508552,4.5733903555860005,8.573821398263014,5.5936546,35,fludarabine,Fludarabine,Antimetabolite,DNA replication,286,286
